Question,Answer
What measures has CPC Corporation taken to improve its product quality and image?,"CPC Corporation has integrated sales channels, refined services, and committed itself to the development of new green products and new businesses."
When is CPC's Third LNG Receiving Terminal project scheduled to come on stream?,The project is currently scheduled to come on stream in June 2025.
How will the completion of the third LNG receiving terminal project benefit the transmission of gas in Taiwan?,"It will reduce the cost and risk of transmitting gas over long distances by having terminals in northern, central, and southern Taiwan supplying natural gas to users in their respective areas."
When did CPC receive its first carbon neutral LNG cargo?,CPC received its first carbon neutral LNG cargo in 2020 as a step towards energy transition and net zero.
What is the global strategy adopted by CPC to ensure a stable supply of natural gas for Taiwan?,"CPC diversifies its sources of LNG imports from around the world, including the Middle East, the Asia-Pacific region, Russia, Australia, North America, Central and South America, Africa, and Europe."
How does CPC offset the overall greenhouse gas emissions of the LNG cargo it imports?,"CPC uses high-quality nature-based carbon credits to offset the overall greenhouse gas emissions of the relevant LNG cargo, including various stages from exploration to end-use."
What was the response of CPC to market competition in the LPG market after the government opened it up in 1999?,"CPC maintained its leading market share by making full use of its quality advantages, transport, storage systems, marketing strategies, and international market price fluctuations awareness."
What is the mission of CPC as a state-owned enterprise during price hikes such as those experienced during the COVID-19 pandemic?,CPC undertook its mission of implementing LPG price levels set by the government to ensure consistency during price hikes.
How does CPC acquire additional supplies of natural gas to achieve security and diversification of gas supply in Taiwan?,CPC acquires additional supplies through short-term/spot transactions in addition to mid to long-term LNG procurement contracts to ensure security and diversification of the gas supply in Taiwan.
What is the significance of CPC's compliance with the government's LPG safety reserve policy in 2021?,"By complying with the government's LPG safety reserve policy, CPC aims to increase storage tank turnover rate and revenue, thus reducing the impact of the pandemic on the domestic industry and economy."
How does CPC's Lubricants Business Division (LBD) contribute to the domestic market and international expansion?,"CPC's LBD sells products to over 600 domestic gas stations directly operated by CPC and has expanded its distribution outlets to countries like China, Philippines, Indonesia, Vietnam, and more, catering to both domestic and overseas consumers."
In what direction is CPC's LBD focusing on for future development in response to the rise of electric vehicles?,"With the rise of electric vehicles and the shrinking automotive lubricants market, CPC's LBD is focusing on marine engine oil as an important direction of future development."
How has CPC's LBD demonstrated its trustworthiness as a brand in the lubricants market?,"CPC's lubricant products have been awarded the National Brand Yushan Award for Best Product and the Reader's Digest ""Reputable Brand"" gold award in the lubricant category for three consecutive years, showcasing trustworthiness among the general public."
What are the key products produced by CPC's Solvents and Chemicals Business Division?,"The Division produces petroleum solvents, additives for refinery processes, asphalt, chemicals, and coatings for storage tanks and pipeline equipment."
How has CPC's Solvents and Chemicals Business Division adapted to climate change in its production?,"In response to climate change, the Division has continued to produce Polymer-Modified Asphalt that can adapt to high temperatures and wet weather, investing in new asphalt storage tanks to enhance production systems and improve domestic road quality."
What is the market share of CPC's Solvents and Chemicals Business Division in the production of solvents?,"The Division had about 60% market share in 2021 in the domestic petroleum solvents industry, making it the market leader in that sector."
How does CPC's Solvents and Chemicals Business Division contribute to international market expansion?,"CPC's Division has successfully expanded its business territory by satisfying the needs of international customers, exporting products like normal paraffin to countries such as China, India, the U.S, and some European countries."
What are some of the international certifications obtained by CPC's Lubricants Business Division?,"CPC's LBD has obtained over 60 important international certifications, including MAN ES, WinGD, Wartsila, YANMAR, J-EN, MTU, Bosch Rexroth, Parker Denison, among others."
How does CPC plan to circumvent the ASEAN tariff barrier for its Lubricants Business Division?,"CPC has worked with a domestic warehousing company to set up Maxihub Corporation in Vietnam's Tong-Nai Province, a joint-venture specifically operating facilities for receiving and warehousing of petrochemicals and lubricant blending, projected to begin operating in 2022."
What adjustments have CPC Corporation made to its product ingredients to meet processing needs and regulations?,CPC Corporation has developed its own additives and specialty coatings to meet maintenance and operational needs of its refineries and reduce operating processing risks.
What daily capacity of crude does the Dalin Refinery hold after expansion?,"The Dalin Refinery holds a daily capacity of up to 400,000 barrels of crude after expansion."
"How many refining facilities does CPC Corporation operate in Taiwan, and what is the combined daily refining capacity?","CPC Corporation operates two refineries in Taiwan with a combined daily refining capacity of 600,000 barrels of crude."
What units were included in the capacity expansion of the Dalin plant to cope with the closure of the Kaohsiung Refinery?,"The expansion included a 150,000 barrels per day atmospheric crude oil distillation unit (CDU), a 50,000 barrels per day condensate fractionating unit (CFU), a 40,000 barrels per day diesel hydro-desulfurization (DHDS) unit, and a 30,000 barrels per day kerosene hydro-desulfurization (KHDS) unit."
What is the significance of CPC importing carbon neutral LNG towards achieving carbon neutrality?,Importing carbon neutral LNG helps CPC reduce its carbon intensity and provide a net-zero solution for its customers in Taiwan.
What are CPC's major petrochemical production facilities and the products they produce?,"CPC's major petrochemical production facilities are its Linyuan Petrochemical Plant, Taoyuan, and Dalin refineries. They produce ethylene, propylene, butadiene, benzene, toluene, and mixed xylene."
When did the Kaohsiung Refinery cease operations?,The Kaohsiung Refinery ceased operations in late 2015. 
What actions has CPC taken in response to the growth of the global electric vehicles market?,"CPC has conducted integration of its refining and petrochemical businesses, reduced gasoline and diesel production, and increased production of chemicals."
What are the three principles guiding CPC's low-carbon and green energy transformation strategy?,"The three principles guiding CPC's low-carbon and green energy transformation strategy are ""High-value Petrochemical, Low-Carbon Emission, and Lean-Renewable Energy."""
How is CPC actively responding to environmental group demands in terms of conservation efforts?,CPC is actively responding to environmental group demands by implementing conservation of the algal reef ecosystem in the third LNG Receiving Terminal and establishing the first domestic Ecological Conservation Trust Fund.
How has CPC been tracking its emissions to meet GHG reduction targets?,CPC has been continuously tracking its emissions through GHG inventory following the national long-term GHG reduction targets and introduced the ISO 14064-1 GHG inventory system in 2004.
How has COVID-19 impacted CPC's greenhouse gas emissions?,"The spread of COVID-19 since 2020 decreased economic activities, leading to a reduction in CPC's greenhouse gas emissions. However, the collapse of oil prices caused an increase in emission intensity in 2020."
What measures did CPC undertake in 2022 to reduce GHG emissions?,"In 2022, CPC committed NT$870 million into additional GHG reduction measures including procedure optimization, equipment renewal, and heat recycling/reuse that reduced carbon by 88,000 MT."
What is the total greenhouse gas emission reduction achieved by CPC in 2022 compared to 2021?,"The total greenhouse gas emission reduction achieved by CPC in 2022 compared to 2021 was 106,000 MT carbon dioxide equivalent (CO2e)."
How has CPC contributed to energy savings between 2005 and 2022?,"Between 2005 and 2022, CPC accumulated energy savings totaling 984,000 kL of oil equivalent through production improvements and energy management solutions."
How does CPC verify its refinery emissions in terms of GHG inventory?,CPC's refinery emissions are verified by third-party certified by the EPA as part of the GHG inventory verification process.
What is the main factor that led to the greenhouse gas emission reduction by CPC in 2021 compared to the previous year?,"The spread of COVID-19 led to a decrease in economic activities, which contributed to the greenhouse gas emission reduction by CPC in 2021."
How does CPC determine the GWP values for greenhouse gas surveys?,CPC adopts GWP values according to EPA's rules when conducting greenhouse gas surveys.
How much did CPC reduce in million metric tons (MT) of carbon through its initiatives in 2022?,CPC reduced 2.836 million MT of carbon in 2022.
What was the total energy consumption of CPC in 2022 in million Gigajoules (GJ)?,The total energy consumption of CPC in 2022 was 107 million GJ.
"How many kilowatt-hours (kWh) of renewable energy did CPC's petrol station PV systems generate in 2021, and where were they sold?","CPC's petrol station PV systems generated 10.849 million kWh of renewable energy in 2021, which were sold to TPC."
"What was the energy intensity (in Gigajoules per kiloliter) of CPC in 2022, and how much lower was it compared to 2021?","The energy intensity of CPC in 2022 was 0.662 GJ/kL, which was about 7.7% lower than that of 2021 at 0.611 GJ/kL."
"How many photovoltaic (PV) sites did CPC complete by 2022, and what was their rated capacity?","By 2022, CPC had completed 248 photovoltaic (PV) sites with a rated capacity of 12.518 MW."
What was the amount of investment CPC made in the development of photovoltaic technology in 2022?,CPC invested NT$40.11 million in the development of photovoltaic technology in 2022.
How many renewable energy site certifications did CPC obtain for its self-use PV sites?,CPC obtained renewable energy site certifications for 19 of its self-use PV sites.
What is CPC's plan to expand renewable energy capacity in 2024 with early bird privilege?,CPC plans to expand renewable energy capacity to 19.56 MW in 2023 with early bird privilege.
Where are some locations where CPC has constructed solar power systems for renewable energy generation?,"CPC has constructed solar power systems on the rooftops of fuel stations, oil supply centers, refineries, petrochemical plants, and office buildings."
How many renewable energy certificates did CPC accumulate as of 2022?,"As of 2022, CPC had accumulated 4,796 renewable energy certificates."
"What are the key concepts that CPC Corporation, Taiwan follows in its R&D policies to ensure product quality and customer satisfaction?","CPC Corporation, Taiwan follows the concepts of ""full participation, quality improvement, and customer satisfaction"" to provide products and services of the best quality."
"How does CPC Corporation, Taiwan contribute to environmental protection and energy saving through its R&D activities?","CPC Corporation, Taiwan contributes to environmental protection and energy saving by investing in solar power technology R&D and promoting the commercialization of patents in those areas."
"What are some examples of the smart and innovative projects that CPC Corporation, Taiwan has been conducting?","CPC Corporation, Taiwan has been conducting projects in environmental protection, energy saving, circular economy, and promoting the commercialization of patents to integrate with people's lives."
"How has CPC Corporation, Taiwan integrated green energy policies into its gas station business?","CPC Corporation, Taiwan has transformed its gas station business by promoting various carbon reduction initiatives and building electric vehicle composite charging stations to support green energy policies."
"What is the significance of developing high-value materials like dicyclopentadiene derivatives for CPC Corporation, Taiwan?","Developing high-value materials like dicyclopentadiene derivatives allows CPC Corporation, Taiwan to meet the demand for high frequency, high speed, and high-power efficiency in 5G generation, contributing to the sustainable development of the panel industry in Taiwan."
"How does CPC Corporation, Taiwan ensure the quality and safety of its products through its R&D policies?","CPC Corporation, Taiwan constantly improves and reduces the defect rate, prevents problems, and enhances product quality and safety to protect customer rights and interests, ultimately enhancing customer satisfaction."
"What was the total installed capacity of solar power technology by the end of 2021 for CPC Corporation, Taiwan?","By the end of 2021, CPC Corporation, Taiwan had an installed capacity of 15.497 MW of solar power technology."
"How many renewable energy site certifications has CPC Corporation, Taiwan obtained from its solar power stations?","CPC Corporation, Taiwan has obtained 19 renewable energy site certifications from its solar power stations."
"What types of high-frequency substrate resin materials has CPC Corporation, Taiwan successfully developed for future high-frequency circuit board applications?","CPC Corporation, Taiwan has successfully developed two types of high-frequency substrate resin materials that can be applied to the future high-frequency circuit board material field."
"How has CPC Corporation, Taiwan promoted the transformation of traditional gas stations into smart green energy gas stations?","CPC Corporation, Taiwan has upgraded and transformed traditional gas stations into smart green energy gas stations by integrating energy creation, storage, and use, and providing electric vehicle charging and switching facilities."
How did CPC develop their water coating product for vehicles?,"By undergoing four different stages of R&D, including testing and improvement, CPC successfully developed a product with good hydrophobicity, high gloss, and high weather resistance."
What strategies does CPC employ to reexamine existing waste and find new values?,"CPC employs the Reduce, Reuse, Recycle, and Renew strategies to address waste as resources and pursue a zero-waste goal while ensuring effective resource use."
How does CPC utilize LNG cold energy in their business operations?,"CPC utilizes the cold energy released during LNG gasification, a rare energy source, by exchanging LNG with seawater for temperature exchange and providing the energy to the public."
What are the economic benefits mentioned by CPC in their policies?,CPC mentions economic benefits including cost savings or value creation in NT$ units in their policies.
How does CPC contribute to social benefits according to their policies?,"According to their policies, CPC contributes to social benefits by reducing the risk of ground subsidence, assisting in rural area development, promoting government and academic research, and improving various scenic aspects."
How does CPC promote efficient use of energy resources in industrial areas?,"CPC actively forms energy resource integration links with enterprises in industrial areas to obtain raw materials like steam and hydrogen, reducing overall costs and environmental burdens."
What highlights are mentioned in CPC's policies regarding industry transformation?,CPC mentions establishing an Advanced Catalysis Center to lead the upgrading and transformation of domestic industries and create a circular economy as a highlight.
How does CPC plan to address the reduction in gasoline and diesel fuel production in the future?,CPC is actively developing in the direction of energy storage materials production to align with global energy-saving and carbon-reduction policies.
What approvals did CPC receive in 2021 for their energy storage materials production?,"In 2021, CPC received approval from the Ministry of Economic Affairs for the establishment of a factory to produce energy storage materials."
How does CPC aim to balance economic development and environmental impact in their operations?,"CPC aims to address the dilemma between economic development and environmental impact by ensuring reasonable and effective resource use, as mentioned in their circular economy strategies."
How did the Advanced Catalysis Center plan to develop their technological milestones?,"The Advanced Catalysis Center planned to develop their technological milestones by establishing basic research and development energy, catalyst development and evaluation technology, and verifying and mass producing their own catalyst performance."
What is the goal of developing low-temperature denitrification catalysts?,The goal of developing low-temperature denitrification catalysts is to reduce nitrogen oxide emissions in industrial processes.
How does the Advanced Catalysis Center aim to reinforce the circular industry development in Taiwan?,The Advanced Catalysis Center aims to reinforce the circular industry development in Taiwan by inviting important domestic and foreign companies to establish clusters in Taiwan.
What role does the Advanced Catalysis Center play in the nationalization of catalysts?,The Advanced Catalysis Center plays a role in the nationalization of catalysts by working towards developing and producing catalysts locally.
How does the Advanced Catalysis Center incorporate digitalization and AI technology?,The Advanced Catalysis Center incorporates digitalization and AI technology by introducing smart production processes and building a smart plant environment.
What is the significance of the Advanced Catalysis Center in the transformation of CPC?,The Advanced Catalysis Center is a key step in the transformation of CPC towards leading the domestic industry in creating a circular economy and driving technological innovation.
"How does the Advanced Catalysis Center contribute to achieving ""Industry 4.0"" in the petrochemical industry?","The Advanced Catalysis Center contributes to achieving ""Industry 4.0"" in the petrochemical industry by implementing smart production processes and technologies."
What are the three stages of technological development milestones planned by the Advanced Catalysis Center?,"The three stages of technological development milestones planned by the Advanced Catalysis Center include establishing basic research and development energy, catalyst development and evaluation technology, and mass production of catalyst performance."
How does the Advanced Catalysis Center aim to drive industrial upgrading in Taiwan?,"The Advanced Catalysis Center aims to drive industrial upgrading in Taiwan by promoting innovation, technological advancements, and circular economy practices."
What is the role of CPC in developing the circular economy and sustainable development goals (SDGs)?,CPC plays a leading role in developing the circular economy and advancing sustainable development goals (SDGs) by establishing initiatives like the Advanced Catalysis Center and promoting innovation in the industry.
How did the Conference of Parties 25 (COP 25) contribute to the fight against climate change?,The COP 25 hosted by United Nations Climate Change Conference in 2015 passed the Paris Agreement which was signed by 171 countries to limit the temperature increase of global warming within 15¢XC or 2¢XC by the end of the century.
How has CPC Corporation set its emission reduction target for 2030?,CPC has set its phased and long-term goals to achieve a 49.5% emission reduction target compared with 2005 by 2030.
What framework has CPC integrated with its risk management policy to address climate risks and opportunities?,CPC has integrated the Task Force on Climate-related Financial Disclosures (TCFD) framework proposed by the Financial Stability Board into its risk management policy.
How does CPC address climate risks through its risk management committee?,CPC's Risk Management Committee holds regular meetings to review the effectiveness of risk management for each unit within the organization.
What is CPC's strategy for addressing major climate risks and opportunities?,CPC annually evaluates climate risks and opportunities through interdepartmental discussions and formulates strategies to address them.
How does CPC incorporate climate risk identification into its risk management process?,The TCFD framework integrates into CPC's operational risk management process to establish a climate risk identification process.
What indicators does CPC set related to climate change for monitoring progress?,CPC sets management indicators related to climate change and regularly reviews the progress based on risk identification results.
How does climate change impact CPC in terms of physical risks?,"Climate change has increased the probability and intensity of heavy rainfall, leading to flooding and potential damage to operating facilities for CPC."
What impact does climate change have on CPC in terms of strong winds?,Climate change has led to an increase in strong winds which can pose risks to CPC's operations and may require additional resilience strategies.
How does CPC address the physical risks of flooding caused by climate change?,CPC conducts vulnerability assessments and formulates strategies such as elevated equipment and additional pumps to address potential flooding risks.
How does the CPC Corporation plan to improve operational resilience in response to the increase in intensity of typhoons?,"The CPC Corporation plans to evaluate strategies such as structural reinforcement and the establishment of a backup system, formulating an adjustment strategy through guidance from the Industrial Technology Research Institute to strengthen operational resilience."
What actions is the CPC Corporation taking to address the prolonged drought and water restrictions that may lead to production interruptions?,The CPC Corporation is recycling water through advanced wastewater treatment to improve water efficiency and enhance operational resilience.
How does the CPC Corporation plan to adapt to the transition risks related to policies and laws concerning carbon-related fees?,"The CPC Corporation plans to track the progress of amendments to environmental protection laws, express its position, implement product carbon footprint inventory and verification, promote energy-saving and carbon reduction in manufacturing processes, and develop low-carbon operation models and services."
What investments did the CPC Corporation make in R&D of solar power technology in 2021?,The CPC Corporation invested NT$71.24 million in R&D of solar power technology in 2021.
How did the rise of the electric vehicle industry affect consumer demand and revenue for CPC?,"The rise of the electric vehicle industry affected consumer demand and revenue for CPC, leading to the company achieving the smart green transformation of gas stations and generating revenue of NT$21.21 million in 2021 from charging and switching facilities and gas stations."
How is the CPC Corporation leveraging opportunities in climate change to generate new revenue streams?,The CPC Corporation is promoting regional energy-resources integration and enhancing energy and resource efficiency to reduce site [math: CO_2] emissions and create new green business opportunities.
How does CPC aim to reduce energy consumption in order to improve environmental impact?,"CPC aims to reduce energy consumption by purchasing steam, nitrogen from China Steel Co., and caustic soda from others to improve environmental impact."
What steps has CPC taken to enhance energy and resource utilization efficiency?,"CPC has taken steps such as selling fuel gas, hydrogen, and fuel oil, as well as making optimal use of oil by-products to enhance energy and resource utilization efficiency."
How does CPC plan to make low-value fuel into high-value materials?,CPC plans to make low-value fuel into high-value materials by turning viable contents of pyrolysis gasoline into materials for livelihood necessities.
What measures has CPC implemented to provide diverse services and create new green business opportunities?,CPC has implemented additional electric vehicle (motorcycle) recharging stations at gas stations and introduced Smart & Green e-Stations to provide diversified services and create new green business opportunities.
In what way does CPC plan to expand the use of natural gas to create a clean energy supply chain?,CPC plans to expand the use of natural gas to replace oil market demand and create a clean energy supply chain by expanding natural gas supply and constructing LNG receiving terminals.
"How many recharging stations and Smart & Green e-Stations have been completed as part of the ""Smart Electric Motorcycle Energy Recharging Station Plan""?","A total of 774 recharging stations and 4 Smart & Green e-Stations were completed as part of the ""Smart Electric Motorcycle Energy Recharging Station Plan."""
What climate change adaptation strategy has CPC signed up to since 2018?,"Since 2018, CPC has signed up to the ""Climate Change Adaptation Strategy and Guidance Program for Energy Sector"" to conduct risk and resilience assessment for various climate-related factors."
How has CPC integrated climate change risk assessment into its operations?,CPC has integrated climate change risk assessment by simulating the impact of disasters and identifying the climate change risk of operations based on probability and impact assessment results.
What measures has CPC taken to maintain ecological conservation and environmental protection?,"CPC has established the ""Guantang Industrial Park (Port) Ecological Conservation Committee"" to actively carry out ecological conservation measures in the Guantang area and regularly conduct coastal cleanups in the Datan area."
"How does CPC engage communities, experts, scholars, and government agencies in ecological conservation efforts?","CPC actively engages communities, experts, scholars, and government agencies to establish ecological conservation partnerships and realize ecological and environmental conservation goals."
